donor_id,name,gender,dob,age,blood_group,phone,neighbourhood,lat,lng,last_donation_date,days_since_last_donation,total_donations,times_contacted_last_30d,response_rate
D0001,Ahmed Lodhi,Male,1991-04-08,35,B+,+923089254563,Nazimabad,24.91624,67.03941,2026-04-13,54,2,1,0.87
D0002,Asad Khan,Male,1998-12-14,28,O+,+923022448136,F.B. Area,24.93617,67.07032,2024-06-03,733,3,3,0.92
D0003,Taimoor Soomro,Male,1969-06-19,57,B+,+923220709497,North Nazimabad,24.9311,67.03147,2026-05-08,29,4,0,0.11
D0004,Hassan Soomro,Male,1998-09-24,28,B+,+923439476249,Landhi,24.84711,67.20175,2026-03-11,87,0,0,0.38
D0005,Ali Butt,Male,1983-11-15,43,B+,+923288461803,F.B. Area,24.93692,67.06547,2026-04-13,54,15,1,0.41
D0006,Anum Jamali,Female,2004-07-13,22,O+,+923025374874,Landhi,24.8507,67.20131,2024-09-05,639,2,0,0.4
D0007,Kiran Qureshi,Female,1976-02-28,50,A+,+923182394227,Gulberg,24.93262,67.04167,2026-03-08,90,1,0,1.0
D0008,Usman Siddiqui,Male,1977-02-25,49,O+,+923432162965,F.B. Area,24.93408,67.06341,2024-03-29,799,8,2,0.61
D0009,Faraz Awan,Male,1980-02-08,46,B+,+923439557077,Liaquatabad,24.8955,67.04329,2026-06-06,0,8,3,0.72
D0010,Bilawal Nawaz,Male,1972-08-08,54,A+,+923357553014,Shah Faisal Colony,24.87157,67.15033,2024-02-13,844,0,2,0.29
D0011,Zain Hussain,Male,1974-08-05,52,O+,+923069476001,Malir,24.8921,67.21399,2026-01-17,140,3,0,0.73
D0012,Haris Farooqi,Male,2005-03-13,21,B+,+923348285503,PECHS,24.86636,67.07082,2026-04-13,54,1,0,0.92
D0013,Bilawal Awan,Male,1998-01-17,28,B+,+923164193837,Clifton,24.80344,67.01963,2025-11-02,216,2,1,0.68
D0014,Talha Malik,Male,1966-11-10,60,O+,+923423419256,North Nazimabad,24.93022,67.04091,2025-06-06,365,1,0,0.72
D0015,Rehan Jamali,Male,1967-09-01,59,A+,+923145496015,Bahadurabad,24.87619,67.06792,2026-05-23,14,3,2,0.59
D0016,Fatima Siddiqui,Female,1968-07-27,58,B+,+923231687165,Gulshan-e-Iqbal,24.91751,67.08264,2026-04-11,56,8,2,0.41
D0017,Bilal Memon,Male,1985-01-12,41,B+,+923464543049,Korangi,24.84701,67.13049,2024-10-06,608,10,3,0.96
D0018,Tooba Lodhi,Female,1993-05-06,33,A+,+923339854548,Nazimabad,24.90918,67.01893,2025-07-16,325,5,0,0.13
D0019,Mahnoor Ansari,Female,1967-09-13,59,A+,+923233966966,Bahadurabad,24.87695,67.05266,2026-03-24,74,3,2,0.79
